ballot_ID,Precinct,Ward,WardPrecinct,invalid,rank1,rank10,rank11,rank12,rank13,rank14,rank15,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
"000901-00-00260000217749, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Patricia Nolan,Ben Simon,Jivan Sobrinho-Wheeler,Nicola Williams,Quinton Zondervan,,
"000901-00-00260000236502, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Ilan Levy,Gregg Moree,,,,,
"000901-00-00260000260509, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Craig Kelley,Quinton Zondervan,Nicola Williams,John Pitkin,Derek Kopon,Ben Simon,
"000901-00-00260000270675, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Risa Mednick,Patricia Nolan,Nicola Williams,Jivan Sobrinho-Wheeler,Quinton Zondervan,,
"000901-00-00260000273574, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Patricia Nolan,Nicola Williams,,,,,
"000901-00-00260000287202, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Craig Kelley,,,,,
"000901-00-00260000294105, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,John Pitkin,Craig Kelley,Derek Kopon,Nicola Williams,Quinton Zondervan,Ben Simon,
"000901-00-00260000308032, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,John Pitkin,Craig Kelley,Patricia Nolan,Derek Kopon,,,
"000901-00-00260000321822, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,,,,,,
"000901-00-00260000329010, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Craig Kelley,Patricia Nolan,John Pitkin,Ben Simon,Derek Kopon,Nicola Williams,
"000901-00-00260000334192, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Nicola Williams,Patricia Nolan,John Pitkin,,
"000901-00-00260000343466, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Alanna Mallon,Craig Kelley,Quinton Zondervan,Sumbul Siddiqui,Derek Kopon,Ben Simon,
"000901-00-00260000362199, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Marc McGovern,Sumbul Siddiqui,Adriane Musgrave,Jivan Sobrinho-Wheeler,,,
"000901-00-00260000366814, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Nicola Williams,Craig Kelley,Derek Kopon,Charles Franklin,John Pitkin,Ben Simon
"000901-00-00260000384679, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Craig Kelley,Patricia Nolan,Derek Kopon,John Pitkin,,,
"000901-00-00260000394421, 1",1,9,9-1,False,Dennis Carlone,Sumbul Siddiqui,,,,,,Patricia Nolan,Quinton Zondervan,Charles Franklin,Nicola Williams,John Pitkin,Craig Kelley,Ben Simon,Risa Mednick
"000901-00-00260000401751, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Patricia Nolan,Derek Kopon,,,,,
"000901-00-00260000405946, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Patricia Nolan,Quinton Zondervan,Nicola Williams,John Pitkin,Ben Simon,
"000901-00-00260000433655, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Patricia Nolan,Craig Kelley,John Pitkin,Derek Kopon,,,
"000901-00-00260000437441, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Patricia Nolan,Nicola Williams,John Pitkin,Jivan Sobrinho-Wheeler,,,
"000901-00-00260000453817, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Nicola Williams,Patricia Nolan,,,,,,
"000901-00-00260000461245, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Patricia Nolan,,,,,,
"000901-00-00260000490611, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Patricia Nolan,Derek Kopon,Nicola Williams,Ben Simon,,
"000901-00-00260000530556, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,
"000901-00-00260000534222, 1",1,9,9-1,False,Dennis Carlone,Sumbul Siddiqui,,,,,,Patricia Nolan,Craig Kelley,Jivan Sobrinho-Wheeler,Quinton Zondervan,Derek Kopon,Nicola Williams,Risa Mednick,John Pitkin
"000901-00-00260000541649, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,
"000901-00-00260000542545, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,
"000901-00-00260000555307, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Craig Kelley,Derek Kopon,John Pitkin,Quinton Zondervan,,,
"000901-00-00260000557811, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Patricia Nolan,John Pitkin,,,,,
"000901-00-00260000562742, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,Craig Kelley,Derek Kopon,Quinton Zondervan,
"000901-00-00260000565717, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Nicola Williams,Patricia Nolan,Alanna Mallon,Derek Kopon,Jivan Sobrinho-Wheeler,,,
"000901-00-00260000578127, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Alanna Mallon,Marc McGovern,Denise Simmons,Sumbul Siddiqui,Quinton Zondervan,Sukia Akiba,
"000901-00-00260000583236, 1",1,9,9-1,False,Dennis Carlone,,,,,,,,,,,,,,
"000901-00-00260000616892, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Patricia Nolan,Derek Kopon,,,,,
"000901-00-00260000632982, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,
"000901-00-00260000642396, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Nicola Williams,Patricia Nolan,John Pitkin,,
"000901-00-00260000660048, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Craig Kelley,Derek Kopon,,,,
"000901-00-00260000662928, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Patricia Nolan,Charles Franklin,Nicola Williams,Ben Simon,Derek Kopon,
"000901-00-00260000676317, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Derek Kopon,Patricia Nolan,Sumbul Siddiqui,Quinton Zondervan,Ilan Levy,,,
"000901-00-00260000692874, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Nicola Williams,Quinton Zondervan,Ben Simon,John Pitkin,Patricia Nolan,Derek Kopon,
"000901-00-00260000695207, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Nicola Williams,Derek Kopon,Adriane Musgrave,Craig Kelley,,,
"000901-00-00260000704697, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Charles Franklin,Risa Mednick,Jivan Sobrinho-Wheeler,Timothy Toomey,Derek Kopon,
"000901-00-00260000719996, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Nicola Williams,Derek Kopon,John Pitkin,Patricia Nolan,,
"000901-00-00260000746841, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Charles Franklin,Quinton Zondervan,Jivan Sobrinho-Wheeler,Risa Mednick,Nicola Williams,,
"000901-00-00260000769174, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Sumbul Siddiqui,
"000901-00-00260000784161, 1",1,9,9-1,False,Dennis Carlone,Jeffery McNary,,,,,,Quinton Zondervan,Craig Kelley,Patricia Nolan,John Pitkin,Derek Kopon,Jivan Sobrinho-Wheeler,Ben Simon,Gregg Moree
"000901-00-00260000820500, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Craig Kelley,John Pitkin,Patricia Nolan,Derek Kopon,Nicola Williams,Ben Simon,
"000901-00-00260000821728, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,John Pitkin,Craig Kelley,Patricia Nolan,Derek Kopon,,,
"000901-00-00260000823348, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Patricia Nolan,Derek Kopon,Ben Simon,Nicola Williams,,
"000901-00-00260000838344, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Craig Kelley,Patricia Nolan,,,,,
"000901-00-00260000843578, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Risa Mednick,Patricia Nolan,Sukia Akiba,,,,
"000901-00-00260000865474, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Derek Kopon,Quinton Zondervan,Patricia Nolan,Nicola Williams,John Pitkin,Ben Simon,,
"000901-00-00260000878902, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Quinton Zondervan,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,
"000901-00-00260000885737, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Charles Franklin,John Pitkin,Patricia Nolan,Derek Kopon,,,
"000901-00-00260000895563, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Sumbul Siddiqui,Quinton Zondervan,Jivan Sobrinho-Wheeler,Marc McGovern,Craig Kelley,Denise Simmons,Alanna Mallon,Adriane Musgrave
"000901-00-00260000896080, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Patricia Nolan,Derek Kopon,Quinton Zondervan,Nicola Williams,John Pitkin,Ben Simon,
"000901-00-00260000907953, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,John Pitkin,Craig Kelley,Patricia Nolan,Derek Kopon,,,
"000901-00-00260000921834, 1",1,9,9-1,False,Dennis Carlone,Marc McGovern,Risa Mednick,Patricia Nolan,,,,Alanna Mallon,Quinton Zondervan,Adriane Musgrave,John Pitkin,Denise Simmons,Timothy Toomey,Craig Kelley,Derek Kopon
"000901-00-00260000930887, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Nicola Williams,Derek Kopon,John Pitkin,Patricia Nolan,Ben Simon,
"000901-00-00260000931010, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Charles Franklin,Risa Mednick,Nicola Williams,Timothy Toomey,,
"000901-00-00260000937646, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Patricia Nolan,John Pitkin,Quinton Zondervan,Ben Simon,Nicola Williams,
"000901-00-00260000945847, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Craig Kelley,Derek Kopon,,,,
"000901-00-00260000952664, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Craig Kelley,John Pitkin,Patricia Nolan,Derek Kopon,,,
"000901-00-00260000959748, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Craig Kelley,Nicola Williams,John Pitkin,Derek Kopon,Ben Simon,
"000901-00-00260000975658, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Charles Franklin,Sumbul Siddiqui,Adriane Musgrave,,,
"000901-00-00260000982908, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Nicola Williams,Derek Kopon,Sumbul Siddiqui,,,
"000901-00-00260000993998, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Patricia Nolan,,,,,
"000901-00-00260000999949, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,John Pitkin,Patricia Nolan,Nicola Williams,,
"000901-00-00620000165390, 1",1,9,9-1,False,Dennis Carlone,Derek Kopon,,,,,,Patricia Nolan,Alanna Mallon,Marc McGovern,Denise Simmons,Quinton Zondervan,Sumbul Siddiqui,Write-In 1,Risa Mednick
"000901-00-00620000280812, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Marc McGovern,John Pitkin,Risa Mednick,Alanna Mallon,Sumbul Siddiqui,Patricia Nolan,,
"000901-00-00620000373896, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Write-In 1,,,,,,
"000901-00-00620000451098, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Sumbul Siddiqui,Denise Simmons,Nicola Williams,Marc McGovern,Quinton Zondervan,Craig Kelley,Patricia Nolan,
"000901-00-00620000478001, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Jivan Sobrinho-Wheeler,Patricia Nolan,Charles Franklin,Nicola Williams,Risa Mednick,,
"000901-00-00620000537437, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Patricia Nolan,John Pitkin,Denise Simmons,Nicola Williams,Quinton Zondervan,
"000901-00-00620000588383, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Write-In 1,Quinton Zondervan,,,,,
"000901-00-00620000627591, 1",1,9,9-1,False,Dennis Carlone,,,,,,,John Pitkin,Derek Kopon,Nicola Williams,Craig Kelley,Ben Simon,Quinton Zondervan,Patricia Nolan,
"000901-00-00620000638667, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Risa Mednick,Jivan Sobrinho-Wheeler,Quinton Zondervan,Craig Kelley,,,
"000901-00-00620000896213, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Alanna Mallon,Patricia Nolan,Sumbul Siddiqui,Denise Simmons,Nicola Williams,,,
"000901-00-00620000946177, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Quinton Zondervan,,
"000901-00-09120000017131, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Nicola Williams,Derek Kopon,Jivan Sobrinho-Wheeler,,,
"000901-00-09120000035264, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Adriane Musgrave,Patricia Nolan,Quinton Zondervan,Derek Kopon,John Pitkin,Denise Simmons,Sumbul Siddiqui
"000901-00-09120000042641, 1",1,9,9-1,False,Dennis Carlone,,,,,,,John Pitkin,Nicola Williams,Timothy Toomey,Quinton Zondervan,,,,
"000901-00-09120000064056, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Craig Kelley,Derek Kopon,,,,
"000901-00-09120000070837, 1",1,9,9-1,False,Dennis Carlone,,,,,,,John Pitkin,Patricia Nolan,Craig Kelley,,,,,
"000901-00-09120000071090, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,John Pitkin,Patricia Nolan,Nicola Williams,,
"000901-00-09120000072113, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Charles Franklin,Nicola Williams,Risa Mednick,Quinton Zondervan,Jivan Sobrinho-Wheeler,,
"000901-00-09120000084493, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Patricia Nolan,Ben Simon,Derek Kopon,,,
"000901-00-09120000089761, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,
"000901-00-09120000091063, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Quinton Zondervan,Derek Kopon,Craig Kelley,Ben Simon,John Pitkin,Nicola Williams,
"000901-00-09120000095135, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Nicola Williams,Quinton Zondervan,Derek Kopon,Craig Kelley,,,
"000901-00-09120000100168, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,John Pitkin,Craig Kelley,Patricia Nolan,Derek Kopon,,,
"000901-00-09120000145411, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Patricia Nolan,,,,,
"000901-00-09120000145553, 1",1,9,9-1,False,Dennis Carlone,Risa Mednick,Gregg Moree,Adriane Musgrave,Patricia Nolan,Sukia Akiba,Burhan Azeem,Craig Kelley,Alanna Mallon,Marc McGovern,Sumbul Siddiqui,Denise Simmons,Timothy Toomey,Quinton Zondervan,Jeffery McNary
"000901-00-09120000183839, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Patricia Nolan,Ben Simon,Jivan Sobrinho-Wheeler,Nicola Williams,Quinton Zondervan,,
"000901-00-09120000187888, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Craig Kelley,Patricia Nolan,,,,,
