id,name,party_name,council_id,council_name,election,cand_ward_id,map_ward_id,ward_name,contested,elected,status,occurred_on_count,first_prefs,transfers02,total_votes02,transfers03,total_votes03,transfers04,total_votes04,transfers05,total_votes05,transfers06,total_votes06,transfers07,total_votes07,transfers08,total_votes08,transfers09,total_votes09,transfers10,total_votes10,transfers11,total_votes11,transfers12,total_votes12,transfers13,total_votes13,electorate,total_poll,valid_poll,rejected,quota,seats,candidates
20904,"Dell Henrickson","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002842,S13002842,"George St/Harbour",1,1,Elected,2,684,61.8326,745.8326,-59.8326,686,0,686,0,686,0,686,0,686,,,,,,,,,,,,,12378,3505,3427,78,686,4,7
21071,"Michael Frederick Hutchison","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002842,S13002842,"George St/Harbour",1,1,Elected,1,762,-76,686,0,686,0,686,0,686,0,686,0,686,,,,,,,,,,,,,12378,3505,3427,78,686,4,7
21072,"Sandra Macdonald","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002842,S13002842,"George St/Harbour",1,1,Elected,3,678,4.08893,682.08893,8.79822,690.88715,-4.88715,686,0,686,0,686,0,686,,,,,,,,,,,,,12378,3505,3427,78,686,4,7
74392,"Desmond Bouse","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002842,S13002842,"George St/Harbour",1,1,Elected,7,391,1.49595,392.49595,5.14098,397.63693,1.24144,398.87837,18.51321,417.39158,182.11075,599.50233,271.61699,871.11932,,,,,,,,,,,,,12378,3505,3427,78,686,4,7
84862,"Shane Painter","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002842,S13002842,"George St/Harbour",1,0,Excluded,5,375,0.49865,375.49865,1.45974,376.95839,0.68353,377.64192,9.19058,386.8325,-386.8325,0,0,0,,,,,,,,,,,,,12378,3505,3427,78,686,4,7
85378,"Mac Ahmed Chaudry",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002842,S13002842,"George St/Harbour",1,0,Excluded,4,63,0.59838,63.59838,2.45416,66.05254,0.20404,66.25658,-66.25658,0,0,0,0,0,,,,,,,,,,,,,12378,3505,3427,78,686,4,7
20903,"Alexander McLellan","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,1,Elected,1,911,-256,655,0,655,0,655,0,655,0,655,0,655,0,655,0,655,0,655,,,,,,,8872,2727,2616,111,655,3,10
21233,"Ross Grant","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,1,Elected,6,582,20.513,602.513,9.843,612.356,9.405,621.761,13.248,635.009,73.686,708.695,-53.695,655,0,655,0,655,0,655,,,,,,,8872,2727,2616,111,655,3,10
72355,"Shona Simpson","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,0,Excluded,5,98,6.182,104.182,4,108.182,7.562,115.744,11.562,127.306,-127.306,0,0,0,0,0,0,0,0,0,,,,,,,8872,2727,2616,111,655,3,10
85444,"Vish Archer","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,0,Excluded,9,281,2.248,283.248,10.562,293.81,7.562,301.372,14.281,315.653,6.281,321.934,5.19426,327.12826,30.78431,357.91257,17.10172,375.01429,-375.01429,0,,,,,,,8872,2727,2616,111,655,3,10
85445,"Eileen Frances Delaney","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,0,Excluded,7,118,3.653,121.653,4.281,125.934,4.562,130.496,4.562,135.058,10.281,145.339,8.82825,154.16725,-154.16725,0,0,0,0,0,,,,,,,8872,2727,2616,111,655,3,10
85446,"Graham Charles Elder","Scottish Family Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,0,Excluded,2,69,3.372,72.372,-72.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8872,2727,2616,111,655,3,10
85447,"Ashish Malik","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,0,Excluded,8,192,13.207,205.207,10.281,215.488,10.843,226.331,11.562,237.893,7.562,245.455,5.71269,251.16769,31.00069,282.16838,-282.16838,0,0,0,,,,,,,8872,2727,2616,111,655,3,10
85448,"Peter Nicol",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,0,Excluded,4,77,8.149,85.149,9.281,94.43,8.562,102.992,-102.992,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8872,2727,2616,111,655,3,10
85449,"Robert Reid","Alba Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,0,Excluded,3,66,8.149,74.149,6,80.149,-80.149,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8872,2727,2616,111,655,3,10
85450,"Kairin van Sweeden","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002840,S13002840,"Tillydrone/Seaton/Old Aberdeen",1,1,Elected,10,222,173.377,395.377,6.562,401.939,13.81,415.749,10.091,425.84,9.529,435.369,6.58807,441.95707,18.79961,460.75668,151.46456,612.22124,53.1237,665.34494,,,,,,,8872,2727,2616,111,655,3,10
20906,"Ciarán McRae","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,1,Elected,5,370,487.838,857.838,2.26165,860.09965,47.99045,908.0901,56.6165,964.7066,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
20974,"Graeme Stephen Lawrence","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,0,"Not elected",,136,9.2521,145.2521,3,148.2521,5,153.2521,3.42055,156.67265,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
21121,"Sam Forman","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,0,"Not elected",,151,16.822,167.822,5.26165,173.08365,4.42055,177.5042,22.42055,199.92475,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
21126,"Gordon Graham","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,1,Elected,5,829,62.66195,891.66195,9.8411,901.50305,16.26165,917.7647,14.42055,932.18525,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
74393,"Lucas Grant","Trade Unionist and Socialist Coalition",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,0,Excluded,2,38,4.2055,42.2055,-42.2055,0,0,0,0,0,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
84863,"Nestor Carlsen-Devereux","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,0,"Not elected",,373,10.0932,383.0932,5,388.0932,7,395.0932,5.42055,400.51375,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
85475,"Donna Clark","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,1,Elected,1,1586,-667,919,0,919,0,919,0,919,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
85476,"David Maitland","Alba Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,0,Excluded,3,91,12.19595,103.19595,5.8411,109.03705,-109.03705,0,0,0,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
85477,"Louise McCafferty","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002838,S13002838,"Northfield/Mastrick North",1,0,Excluded,4,100,14.2987,114.2987,4,118.2987,4.26165,122.56035,-122.56035,0,,,,,,,,,,,,,,,,,11686,3803,3674,129,919,3,9
20907,"Jessica Mennie","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002836,S13002836,"Bridge of Don",1,1,Elected,5,1094,244.97298,1338.97298,2.35872,1341.3317,6.32328,1347.65498,103.06112,1450.72,-91.7161,1359,0,1359,0,1359,,,,,,,,,,,15216,6930,6793,137,1359,4,8
20982,"Alison Alphonse","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002836,S13002836,"Bridge of Don",1,1,Elected,1,1649,-290,1359,0,1359,0,1359,0,1359,0,1359,0,1359,0,1359,,,,,,,,,,,15216,6930,6793,137,1359,4,8
70707,"Sarah Cross","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002836,S13002836,"Bridge of Don",1,1,Elected,1,1594,0,1594,-235,1359,0,1359,0,1359,0,1359,0,1359,0,1359,,,,,,,,,,,15216,6930,6793,137,1359,4,8
70710,"Sylvia Hardie","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002836,S13002836,"Bridge of Don",1,0,Excluded,4,210,10.72746,220.72746,1.17936,221.90682,5,226.90682,-226.90682,0,0,0,0,0,0,0,,,,,,,,,,,15216,6930,6793,137,1359,4,8
71838,"Nurul Hoque Ali","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002836,S13002836,"Bridge of Don",1,1,Elected,8,1040,13.1895,1053.1895,13.12038,1066.30988,10.44226,1076.75214,41.70172,1118.45386,18.49269,1136.94655,109.18669,1246.13324,462.09477,1708.23,,,,,,,,,,,15216,6930,6793,137,1359,4,8
85456,"Harald Rainer Bartl","Scottish Family Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002836,S13002836,"Bridge of Don",1,0,Excluded,3,88,0.70344,88.70344,1.4742,90.17764,-90.17764,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15216,6930,6793,137,1359,4,8
85457,"Mevrick Renson Fernandes","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002836,S13002836,"Bridge of Don",1,0,Excluded,7,739,9.32058,748.32058,14.44716,762.76774,20.4707,783.23844,50.32328,833.56172,18.72765,852.28937,180.85588,1033.14525,-1033.14525,0,,,,,,,,,,,15216,6930,6793,137,1359,4,8
